side,pitch,roll,j00_du_dp,j01_du_dr,j10_dl_dp,j11_dl_dr,diag_kp_upper,diag_kp_lower,diag_kd_upper,diag_kd_lower,equiv_kp_pitch,equiv_kp_roll,equiv_kp_cross
left,-0.34218981862068176,0.0850183367729187,-1.3427734374960032,0.8544921874964472,-1.312255859370337,-0.8544921874964472,1.6849560962762642,1.7406306805451026,1.6849560962762642,1.7406306805451028,6.035436997820112,2.5012158164806837,0.01848994639012585
right,-0.2551571726799011,0.08044612407684326,-1.2207031249988898,-0.8544921874992227,-1.2512207031217804,0.8544921874964472,2.0023112871353224,1.936515257018784,2.0023112871353224,1.9365152570187838,6.015394075254454,2.875961373188848,0.018132037059293508
left,-0.35657164454460144,0.06613007932901382,-1.4038085937473352,0.8850097656221133,-1.3427734374960032,-0.8544921874964472,1.5352095636889003,1.6689759852343513,1.5352095636889003,1.6689759852343513,6.034635886687644,2.421055376033106,0.0076450927589328975
right,-0.3151756823062897,0.21138861775398254,-1.281738281250222,-0.8544921874992227,-1.3732910156272202,0.823974609370781,1.7807011167874114,1.647504155981985,1.7807011167874116,1.647504155981985,6.03250478011406,2.418738049694671,0.08604206501446182
left,-0.060864754021167755,-0.10931943356990814,-1.0681152343750693,0.8544921875002636,-1.0986328124990008,-0.793457031250666,2.494149128537751,2.5409460442378538,2.494149128537751,2.5409460442378538,5.912407073923768,3.4208339105197005,-0.06141201459005844
right,-0.20211364328861237,0.07839756458997726,-1.1901855468732236,-0.8544921874992227,-1.1901855468759992,0.823974609370781,2.092982386654019,2.1441441783269144,2.092982386654019,2.1441441783269144,6.0020661962516355,2.983938248006701,0.025846945542956273
left,-0.34100571274757385,-0.057901930063962936,-1.312255859370337,0.8850097656221133,-1.3427734375015543,-0.8544921875019983,1.7213891935245302,1.702403283284945,1.7213891935245305,1.702403283284945,6.033760844964087,2.591286307057669,-0.045831761598657275
right,-0.3324877619743347,-0.060386765748262405,-1.3427734374960032,-0.8544921874964472,-1.3427734374960032,0.8544921874964472,1.673586856012754,1.6735868560127538,1.6735868560127538,1.6735868560127538,6.035089778194955,2.4439619762880507,-1.009974775274655e-17
left,-0.36267533898353577,-0.12501494586467743,-1.3427734375015543,0.8850097656276644,-1.4038085937473352,-0.8544921874964472,1.6350406950236662,1.5656924172824533,1.635040695023666,1.5656924172824533,6.033521090196668,2.423834129853564,-0.0649132704467578
right,-0.36417123675346375,-0.030390962958335876,-1.373291015621669,-0.8544921874964472,-1.373291015621669,0.8850097656221133,1.615918937933058,1.5837809827815066,1.615918937933058,1.5837809827815066,6.034404355488309,2.4203585962201846,-0.02866268226491524
left,-0.3323499262332916,0.05263090506196022,-1.3427734374960032,0.8544921874964472,-1.3427734374960032,-0.8544921874964472,1.673586856012754,1.6735868560127538,1.6735868560127538,1.6735868560127538,6.035089778194955,2.4439619762880507,1.009974775274655e-17
right,-0.028096763417124748,0.14144837856292725,-1.037597656250444,-0.8544921875006105,-1.0681152343747224,0.7629394531249999,2.593850218586725,2.7200375265218653,2.593850218586725,2.7200375265218653,5.895771852393051,3.47718785093265,0.08317881486506162
left,-0.3869459927082062,0.08597073704004288,-1.4343261718730014,0.8850097656221133,-1.373291015621669,-0.8850097656221133,1.4845775894242417,1.579888921057516,1.4845775894242417,1.579888921057516,6.033766046310738,2.4002197527311235,0.03564710504609237
right,-0.3734511137008667,0.13683989644050598,-1.3427734374960032,-0.8544921874964472,-1.4648437499986675,0.8544921874964472,1.6312767011850346,1.436875850780197,1.6312767011850346,1.436875850780197,6.024459054383429,2.2402327514446703,0.07317564674357471
left,-0.47556355595588684,0.02835216373205185,-1.5563964843701148,0.9155273437477794,-1.5258789062444487,-0.8850097656221133,1.2353853186975752,1.2945477404266075,1.2353853186975752,1.2945477404266075,6.0066641913309615,2.0494325426538462,-0.012149395412899357
right,-0.32815900444984436,0.219286248087883,-1.3122558593745004,-0.8544921874992227,-1.4038085937528864,0.8544921874964472,1.7182076073534924,1.5600140103977493,1.7182076073534922,1.5600140103977493,6.033066205689125,2.3936161289963427,0.05534283245248472
left,-0.42587384581565857,-0.0005149956559762359,-1.4648437499986675,0.8850097656221133,-1.4648437499986675,-0.8544921874964472,1.3887433557893951,1.414377543380621,1.3887433557893951,1.414377543380621,6.014844916459142,2.120440039981574,-0.02999541625087376
right,-0.39361336827278137,0.07251765578985214,-1.4038085937473352,-0.8544921874964472,-1.4343261718730014,0.8850097656221133,1.5349953424946785,1.459503768271876,1.5349953424946785,1.459503768271876,6.027607218185437,2.263932505263445,-0.011389735177283542
left,-0.42305469512939453,-0.167015939950943,-1.4038085937528864,0.8850097656276644,-1.5258789062444487,-0.9155273437477794,1.5087249876372515,1.3121469966157988,1.5087249876372515,1.3121469966157988,6.028292295866814,2.281526114380973,-0.041368080867945786
right,-0.38184496760368347,0.06655960530042648,-1.3427734374960032,-0.8544921874964472,-1.4343261718730014,0.8544921874964472,1.641386791499054,1.4916712572224249,1.641386791499054,1.4916712572224249,6.0282895672306465,2.2876239476513245,0.055086941103072384
left,-0.24701198935508728,-0.12207988649606705,-1.2207031249988898,0.8544921874992227,-1.2512207031217804,-0.8544921874964472,2.0023112871353224,1.936515257018784,2.0023112871353224,1.9365152570187838,6.015394075254454,2.875961373188848,-0.018132037059293508
right,-0.0070898039266467094,0.14528922736644745,-1.037597656250444,-0.8544921875006105,-1.037597656250444,0.7629394531256938,2.6102846194594904,2.8433195742565256,2.6102846194594904,2.8433195742565256,5.871398791615954,3.560947138418187,0.0634876262461721
left,-0.36126476526260376,0.06377623230218887,-1.373291015621669,0.8544921874964472,-1.3427734374960032,-0.8544921874964472,1.6098617828351658,1.6625374073484085,1.6098617828351656,1.6625374073484085,6.033706041828501,2.3893648433336874,0.01845903646170293
right,-0.06281816959381104,0.04877264425158501,-1.0681152343747224,-0.8544921874999166,-1.0681152343740286,0.8239746093742505,2.530536409425459,2.601764404576765,2.530536409425459,2.601764404576765,5.855288819545243,3.614115338700063,0.019798352304373566
left,-0.37062546610832214,0.07356483489274979,-1.4038085937639886,0.8544921875075494,-1.373291015621669,-0.8850097656221133,1.5551623532907326,1.5736115926916758,1.5551623532907326,1.5736115926916758,6.032443619159943,2.368031660510734,0.04704484471570497
